"Carimbo de data/hora","Você já utilizou algum frete?","Com que frequência?","Qual o mais frequente?","Qual a forma utilizada para contatar o motorista?","Qual critério na escolha do motorista?","Sua opinião em relação ao preço cobrado","Metodo de pagamento mais utilizado","Você conhece algum sistema que ajude no uso desse serviço?","Se sim, qual?","Gostaria de usar a tecnologia para auxiliar na sua procura?","Porque não conseguiu?","Porque nunca utilizou?","Porque não gosta ou confia no serviço?"
"2017/09/21 6:46:52 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Pegou o número com alguém","Preço","Justo","Dinheiro","Não","","Não","","",""
"2017/09/21 6:51:00 PM GMT-3","Sim","Ocasionalmente","Motoboy","Viu o número em uma placa;Pesquisei na internet;Contato com Cooperativa(motoboy)","Segurança;Preço","Barato","Dinheiro","Não","","Sim","","",""
"2017/09/21 6:55:37 PM GMT-3","Sim","Ocasionalmente","Carro","Pegou o número com alguém;Pesquisei na internet","Segurança;Preço","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 6:55:59 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Fui pessoalmente ao local onde o motorista fica","Distância do local onde eu estava","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 7:06:57 PM GMT-3","Sim","Ocasionalmente","Carro","Pegou o número com alguém;O motorista é um conhecido","Segurança;Preço","Justo","Dinheiro","Não","","Talvez","","",""
"2017/09/21 7:09:39 PM GMT-3","Sim","Ocasionalmente","Caminhão Pequeno Porte","Pegou o número com alguém","Preço;Distância do local onde eu estava","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 7:13:15 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 7:17:07 PM GMT-3","Sim","Ocasionalmente","Caminhão Pequeno Porte","Pegou o número com alguém;Fui pessoalmente ao local onde o motorista fica","Preço","Justo","Dinheiro","Não","","Talvez","","",""
"2017/09/21 7:22:22 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 7:36:30 PM GMT-3","Sim","Ocasionalmente","Carro","O motorista é um conhecido","Preço","Justo","Troca de serviços","Não","","Sim","","",""
"2017/09/21 7:49:19 PM GMT-3","Sim","Ocasionalmente","Motoboy","Pesquisei na internet","Preço","Abusivo","Dinheiro","Não","","Não","","",""
"2017/09/21 7:49:46 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Pegou o número com alguém","Segurança","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 7:50:26 PM GMT-3","Sim","Raramente","Correios ","Correios","Correios","Justo","Cartão Crédito/Débito","Sim","Correios ","Sim","","",""
"2017/09/21 7:59:57 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Pegou o número com alguém","Não houve critério, peguei o primeiro que consegui","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 8:00:19 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 8:03:33 PM GMT-3","Sim","Ocasionalmente","Caminhão Pequeno Porte","Viu o número em uma placa;Pesquisei na internet;Fui pessoalmente ao local onde o motorista fica","Segurança;Preço","Justo","Dinheiro","Não","","Talvez","","",""
"2017/09/21 8:07:41 PM GMT-3","Sim","Ocasionalmente","Motoboy","Viu o número em uma placa;Pegou o número com alguém;O motorista é um conhecido;Pesquisei na internet;Fui pessoalmente ao local onde o motorista fica","Segurança;Preço","Razoávelmente abusivo","Dinheiro","Não","","Talvez","","",""
"2017/09/21 8:16:15 PM GMT-3","Sim","Frequentemente","Caminhão Pequeno Porte","Pesquisei na internet","Preço","Justo","Cartão Crédito/Débito","Não","","Talvez","","",""
"2017/09/21 8:16:47 PM GMT-3","Sim","Ocasionalmente","Carro","O motorista é um conhecido;Pesquisei na internet","Preço","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 8:19:35 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Pesquisei na internet","Preço","Abusivo","Dinheiro","Não","","Sim","","",""
"2017/09/21 8:24:13 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","O motorista é um conhecido","Não houve critério, peguei o primeiro que consegui","Justo","Dinheiro","Não","","Talvez","","",""
"2017/09/21 8:26:11 PM GMT-3","Sim","Ocasionalmente","Motoboy","Contato com Cooperativa(motoboy)","Segurança","Justo","Cartão Crédito/Débito","Não","","Sim","","",""
"2017/09/21 8:33:03 PM GMT-3","Sim","Ocasionalmente","Carro","Viu o número em uma placa;Pegou o número com alguém;O motorista é um conhecido","Não houve critério, peguei o primeiro que consegui","É relativo ","Dinheiro","Não","","Sim","","",""
"2017/09/21 8:36:44 PM GMT-3","Sim","Frequentemente","Motoboy","O motorista é um conhecido;Fui pessoalmente ao local onde o motorista fica","Segurança","Justo","Dinheiro","Não","","Não","","",""
"2017/09/21 8:36:49 PM GMT-3","Sim","Ocasionalmente","Motoboy","Contato com Cooperativa(motoboy)","Preço","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 8:38:44 PM GMT-3","Sim","Ocasionalmente","Caminhão Pequeno Porte","Pegou o número com alguém","Preço;Distância do local onde eu estava","Justo","Dinheiro","Não","","Talvez","","",""
"2017/09/21 8:40:22 PM GMT-3","Sim","Ocasionalmente","Carro","O motorista é um conhecido","Era um amigo.","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 8:54:04 PM GMT-3","Sim","Ocasionalmente","Motoboy","Pesquisei na internet","Preço","Abusivo","Cartão Crédito/Débito","Não","","Sim","","",""
"2017/09/21 8:56:47 PM GMT-3","Sim","Ocasionalmente","Caminhão Grande Porte","Viu o número em uma placa","Preço","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 9:04:02 PM GMT-3","Sim","Frequentemente","Caminhão Pequeno Porte","Pesquisei na internet","Tempo de entrega","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 9:04:06 PM GMT-3","Sim","Ocasionalmente","Caminhão Pequeno Porte","O motorista é um conhecido;Fui pessoalmente ao local onde o motorista fica;Contato com Cooperativa(motoboy)","Segurança;Preço;Distância do local onde eu estava","Abusivo","Cartão Crédito/Débito","Não","","Sim","","",""
"2017/09/21 9:05:07 PM GMT-3","Sim","Frequentemente","Caminhão Pequeno Porte","Pegou o número com alguém;O motorista é um conhecido","Segurança;Preço","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 9:16:04 PM GMT-3","Sim","Ocasionalmente","Sedex","Pesquisei na internet","Preço","Razoável","Cartão Crédito/Débito","Não","","Sim","","",""
"2017/09/21 9:17:35 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Viu o número em uma placa;Pegou o número com alguém;O motorista é um conhecido","Preço;Distância do local onde eu estava","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 9:20:39 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Pegou o número com alguém","Segurança","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 9:30:34 PM GMT-3","Sim","Frequentemente","Caminhão Pequeno Porte","Pesquisei na internet","Segurança","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 9:30:55 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Contato com Cooperativa(motoboy)","Distância do local onde eu estava","Justo","Cartão Crédito/Débito","Não","","Talvez","","",""
"2017/09/21 9:31:41 PM GMT-3","Sim","Frequentemente","Motoboy","Contato com Cooperativa(motoboy)","Preço","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 9:40:11 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 9:41:17 PM GMT-3","Sim","Raramente","Carro","Viu o número em uma placa;Pegou o número com alguém;O motorista é um conhecido","Preço;Conhecido ","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 9:42:34 PM GMT-3","Sim","Frequentemente","Caminhão Pequeno Porte","Contato com Cooperativa(motoboy)","Distância do local onde eu estava","Abusivo","Dinheiro e Cartão Crédito/Débito","Não","","Sim","","",""
"2017/09/21 10:02:36 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 10:08:34 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Viu o número em uma placa;O motorista é um conhecido","Preço","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 10:18:02 PM GMT-3","Sim","Ocasionalmente","Caminhão Pequeno Porte","O motorista é um conhecido","Preço","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 10:21:48 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 10:24:00 PM GMT-3","Sim","Ocasionalmente","Caminhão Pequeno Porte","Pelo site da compra","Preço","Justo","Cartão Crédito/Débito","Não","","Sim","","",""
"2017/09/21 10:30:15 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Pegou o número com alguém;Pesquisei na internet","Segurança;Preço","Justo","Cartão Crédito/Débito","Não","","Sim","","",""
"2017/09/21 10:35:38 PM GMT-3","Sim","Ocasionalmente","Caminhão Pequeno Porte","O motorista é um conhecido","Segurança","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 10:36:26 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 10:45:22 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 10:57:03 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 10:58:24 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Pegou o número com alguém;O motorista é um conhecido;Pesquisei na internet","Segurança;Preço","Justo","Dinheiro","Não","","Talvez","","",""
"2017/09/21 10:58:25 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 10:59:06 PM GMT-3","Sim","Frequentemente","Caminhão Pequeno Porte","Pegou o número com alguém;O motorista é um conhecido","Segurança;Preço;Distância do local onde eu estava","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 11:04:28 PM GMT-3","Sim","Ocasionalmente","Motoboy","Pesquisei na internet","Não houve critério, peguei o primeiro que consegui","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 11:11:39 PM GMT-3","Sim","Ocasionalmente","Caminhão Pequeno Porte","Pesquisei na internet","Segurança","Justo","Cartão Crédito/Débito","Não","","Talvez","","",""
"2017/09/21 11:15:13 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 11:17:14 PM GMT-3","Sim","Ocasionalmente","Caminhão Grande Porte","O motorista é um conhecido;Pesquisei na internet;Fui pessoalmente ao local onde o motorista fica","Segurança;Preço","Abusivo","Troca de serviços","Não","","Não","","",""
"2017/09/21 11:17:42 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 11:21:03 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Viu o número em uma placa;Pegou o número com alguém","Não houve critério, peguei o primeiro que consegui","Abusivo","Dinheiro","Não","","Sim","","",""
"2017/09/21 11:21:27 PM GMT-3","Sim","Ocasionalmente","Carro","Contato com Cooperativa(motoboy)","Não houve critério, peguei o primeiro que consegui","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 11:21:33 PM GMT-3","Sim","Ocasionalmente","Motoboy","Contato com Cooperativa(motoboy)","Preço","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 11:23:33 PM GMT-3","Sim","Ocasionalmente","Carro","Viu o número em uma placa;Pegou o número com alguém","Preço;Não houve critério, peguei o primeiro que consegui","Abusivo","Dinheiro","Não","","Talvez","","",""
"2017/09/21 11:27:06 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Fui pessoalmente ao local onde o motorista fica","Não houve critério, peguei o primeiro que consegui","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 11:59:56 PM GMT-3","Sim","Raramente","Motoboy","Pegou o número com alguém;O motorista é um conhecido;Pesquisei na internet","Preço","Justo","Cartão Crédito/Débito","Não","","Sim","","",""
"2017/09/22 12:23:13 AM GMT-3","Sim","Ocasionalmente","Caminhão Pequeno Porte","Pegou o número com alguém","Distância do local onde eu estava","Abusivo","Dinheiro","Não","","Sim","","",""
"2017/09/22 12:50:40 AM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/22 1:28:49 AM GMT-3","Sim","Raramente","Motoboy","Contato com Cooperativa(motoboy)","Preço","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/22 1:47:25 AM GMT-3","Sim","Ocasionalmente","Carro","Pesquisei na internet","Segurança;Preço","Justo","Cartão Crédito/Débito","Não","","Sim","","",""
"2017/09/22 2:15:47 AM GMT-3","Sim","Raramente","Carro","Pegou o número com alguém;O motorista é um conhecido","Não houve critério, peguei o primeiro que consegui","Justo","Dinheiro","Não","","Talvez","","",""
"2017/09/22 2:21:44 AM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Pesquisei na internet","Preço","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/22 2:59:45 AM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/22 3:30:54 AM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Correio","Preço","Justo","Cartão Crédito/Débito","Não","","Não","","",""
"2017/09/22 4:18:35 AM GMT-3","Sim","Ocasionalmente","Caminhão Pequeno Porte","Pegou o número com alguém;O motorista é um conhecido","Preço;Não houve critério, peguei o primeiro que consegui","Barato","Dinheiro","Não","","Sim","","",""
"2017/09/22 5:19:56 AM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/22 5:25:07 AM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/22 5:57:09 AM GMT-3","Sim","Ocasionalmente","Caminhão Pequeno Porte","O motorista é um conhecido","Segurança","Abusivo","Dinheiro","Não","","Talvez","","",""
"2017/09/22 7:38:20 AM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Pegou o número com alguém;O motorista é um conhecido","Preço","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/22 7:57:24 AM GMT-3","Sim","Ocasionalmente","Caminhão Pequeno Porte","Pesquisei na internet","Segurança","Justo","Boleto","Não","","Sim","","",""
"2017/09/22 8:45:02 AM GMT-3","Sim","Ocasionalmente","Caminhão Pequeno Porte","Contato com Cooperativa(motoboy)","Segurança;Preço;Distância do local onde eu estava","Justo","Cartão Crédito/Débito","Não","","Sim","","",""
"2017/09/22 8:52:58 AM GMT-3","Sim","Raramente","Carro","Fui pessoalmente ao local onde o motorista fica","Preço;Distância do local onde eu estava","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/22 9:31:01 AM GMT-3","Sim","Raramente","Motoboy","Contato com Cooperativa(motoboy)","Não houve critério, peguei o primeiro que consegui","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/22 9:35:54 AM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Viu o número em uma placa;Pegou o número com alguém;Fui pessoalmente ao local onde o motorista fica","Segurança;Preço;Distância do local onde eu estava","Depende","Dinheiro","Não","","Sim","","",""
"2017/09/22 10:03:48 AM GMT-3","Sim","Frequentemente","Caminhão Pequeno Porte","Pegou o número com alguém;O motorista é um conhecido","Segurança;Preço;Distância do local onde eu estava","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/22 10:11:50 AM GMT-3","Sim","Frequentemente","Carro","O motorista é um conhecido","Segurança;Preço","Barato","Dinheiro","Não","","Talvez","","",""
"2017/09/22 10:32:39 AM GMT-3","Sim","Ocasionalmente","Caminhão Grande Porte","Pesquisei na internet","Segurança","Justo","Cartão Crédito/Débito","Não","","Sim","","",""
"2017/09/22 11:06:31 AM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/22 11:17:22 AM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/22 11:24:05 AM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Viu o número em uma placa","Segurança","Abusivo","Dinheiro","Não","","Sim","","",""
"2017/09/22 11:47:00 AM GMT-3","Sim","Ocasionalmente","Motoboy","Pesquisei na internet","Preço","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/22 12:16:27 PM GMT-3","Sim","Ocasionalmente","Caminhão Grande Porte","Pesquisei na internet","Segurança;Preço","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/22 12:17:23 PM GMT-3","Sim","Ocasionalmente","Motoboy","O motorista é um conhecido","Segurança","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/22 1:02:44 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/22 1:06:52 PM GMT-3","Sim","Raramente","Carro","O motorista é um conhecido","Segurança;Preço","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/22 1:12:57 PM GMT-3","Sim","Raramente","Motoboy","O motorista é um conhecido;Contato com Cooperativa(motoboy)","Segurança","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/22 2:06:41 PM GMT-3","Sim","Frequentemente","Motoboy","Contato com Cooperativa(motoboy)","Não houve critério, peguei o primeiro que consegui","Justo","Cartão Crédito/Débito","Não","","Sim","","",""
"2017/09/22 4:13:03 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Fui pessoalmente ao local onde o motorista fica","Não houve critério, peguei o primeiro que consegui","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/22 4:42:01 PM GMT-3","Sim","Ocasionalmente","Caminhão Pequeno Porte","Pegou o número com alguém","Distância do local onde eu estava","Justo","Dinheiro","Não","","Talvez","","",""
"2017/09/22 4:42:58 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/22 6:16:32 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Fui pessoalmente ao local onde o motorista fica","Distância do local onde eu estava","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/22 8:05:13 PM GMT-3","Sim","Frequentemente","Caminhão Pequeno Porte","Pesquisei na internet","Preço","Abusivo","Dinheiro","Não","","Sim","","",""
"2017/09/22 8:11:58 PM GMT-3","Sim","Ocasionalmente","Caminhão Pequeno Porte","Pesquisei na internet","Segurança","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/22 10:05:40 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Contato com Cooperativa(motoboy)","Preço","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/22 10:29:53 PM GMT-3","Sim","Frequentemente","Carro","Pesquisei na internet","Segurança","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/22 10:43:11 PM GMT-3","Sim","Ocasionalmente","Motoboy","Pesquisei na internet","Preço;Distância do local onde eu estava","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/23 10:36:57 AM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/23 11:15:43 AM GMT-3","Sim","Ocasionalmente","Carro","O motorista é um conhecido","Preço","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/23 11:46:39 AM GMT-3","Sim","Ocasionalmente","Caminhão Pequeno Porte","Pesquisei na internet","Preço","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/23 12:19:09 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Pegou o número com alguém","Preço","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/23 2:10:47 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Pesquisei na internet","Preço","Barato","Dinheiro","Não","","Sim","","",""
"2017/09/23 6:39:57 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Pegou o número com alguém","Preço","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/24 10:24:08 AM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Pegou o número com alguém;O motorista é um conhecido","Preço;Não houve critério, peguei o primeiro que consegui","Justo","Dinheiro","Não","","Não","","",""
"2017/09/24 10:39:04 AM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Pegou o número com alguém;O motorista é um conhecido","Preço","Abusivo","Dinheiro","Não","","Sim","","",""
"2017/09/24 11:30:31 AM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/24 1:41:53 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Pegou o número com alguém;O motorista é um conhecido","Preço","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/24 2:15:25 PM GMT-3","Sim","Ocasionalmente","Caminhão Pequeno Porte","Pesquisei na internet","Segurança;Preço","Justo","Cartão Crédito/Débito","Não","","Sim","","",""
"2017/09/25 3:37:51 AM GMT-3","Sim","Ocasionalmente","Caminhão Pequeno Porte","O motorista é um conhecido","Segurança","Barato","Dinheiro","Não","","Sim","","",""
"2017/09/25 7:20:26 AM GMT-3","Sim","Ocasionalmente","Motoboy","Pesquisei na internet","Não houve critério, peguei o primeiro que consegui","Depende muito de qual eu pego, tem uns que o preco eh justo, mas tem uns que abusam do preco, teve um dia que paguei 26 reais ida e volta pra um lugar perto da minha casa, e outro dia que paguei 20 pra ir a uma distancia bem grande, praticamente atravessando a cidade","Dinheiro","Não","","Sim","","",""
"2017/09/25 7:47:45 AM GMT-3","Sim","Frequentemente","Carro","Pesquisei na internet","Preço","Justo","Dinheiro","Sim","Uber","Sim","","",""
"2017/09/25 7:55:17 AM GMT-3","Sim","Raramente","Motoboy","Contato com Cooperativa(motoboy)","Preço;Rapidez","Justo","Dinheiro","Sim","Sistema proprio da empresa, que utiliza gps","Sim","","",""
"2017/09/25 8:02:13 AM GMT-3","Precisei, mas não consegui","","","","","","","","","","Preço. Precisava para entrega de diversos produtos baratos ","",""
"2017/09/25 8:02:58 AM GMT-3","Precisei, mas não consegui","","","","","","","","","","Preço. Precisava para entrega de diversos produtos baratos, então não compensava ","",""
"2017/09/25 11:15:29 AM GMT-3","Sim","Ocasionalmente","Caminhão Pequeno Porte","Pesquisei na internet","Distância do local onde eu estava","Abusivo","Cartão Crédito/Débito","Não","","Talvez","","",""
"2017/09/25 12:58:39 PM GMT-3","Sim","Raramente","Carro","Viu o número em uma placa","Preço","Justo","Dinheiro","Não","","Talvez","","",""
"2017/09/28 3:28:08 PM GMT-3","Sim","Ocasionalmente","Caminhão Pequeno Porte","Pegou o número com alguém","Boa indicação de conhecido","Abusivo","Dinheiro","Não","","Sim","","",""